Transaction Date,Account Number,Merchant Name,Transaction Number,Solution,Top-up Amount,Top-up Fee,Note,Admin Note,Status
2025/03/19 09:54:am,AC2473062452,RIVALRY LIMITED,2559370395,PesoNet,"PHP 456,266.07",PHP 0.00,0319 TOP UP SR #: RVL_0039,0319 ANNA,completed
2025/03/12 09:13:am,AC2473062452,RIVALRY LIMITED,2593323236,PesoNet,"PHP 824,614.20",PHP 0.00,0312 Top up SR #: RVL_0038,0312 Axziel,completed
2025/02/26 10:12:am,AC2473062452,RIVALRY LIMITED,2516844454,PesoNet,"PHP 281,703.39",PHP 0.00,0226 Top-up SR#: RVL_0036,0226 Andrew,completed
2025/02/05 10:50:am,AC2473062452,RIVALRY LIMITED,2546370974,PesoNet,"PHP 549,030.60",PHP 0.00,02052025 Top up via SR #: RVL_0033,,completed
2025/01/22 02:59:pm,AC2473062452,RIVALRY LIMITED,2539694065,PesoNet,"PHP 452,334.93",PHP 0.00,01222025 Top up SR #: RVL_0031,,completed
2025/01/15 06:37:pm,AC2473062452,RIVALRY LIMITED,2571603909,PesoNet,"PHP 511,425.51",PHP 0.00,01152025 Top Up via SR #: RVL_0030,,completed
2024/12/04 12:11:pm,AC2473062452,RIVALRY LIMITED,2489501471,PesoNet,"PHP 481,338.52",PHP 0.00,12042024 Top up via Settlement (SR #: RVL_0024),,completed
